id_cliente,edad,ingreso_mensual,default,monto_credito_solicitado,antiguedad_laboral_meses,relacion_deuda_ingreso,num_moras_historicas,nombre,score_interno,tipo_contrato,ciudad,fecha_desembolso,genero
CLI-00359,,753000.0,0,6740000.0,7.0,0.129,0,Sofia Diaz,434.0,,Medellin,2023/11/14,f
CLI-00339,,4969000 COP,1,2720000.0,15.0,0.364,1,Jorge Rodriguez,748.0,Fijo,Bogota,2023/09/16,m
CLI-00299,19.0,3312000.0,1,1240000.0,48.0,,0,Daniela Castro,752.0,Fijo,CALI,2023/05/22,m
CLI-00014,50.0,1899000.0,0,7630000.0,85.0,0.288,0,David Martinez,468.0,fijo,Envigado,2021/02/08,f
CLI-00421,39.0,1691000.0,0,2380000.0,6.0,,0,Luis Hernandez,,Independiente,CALI,13/05/2024,
CLI-00405,44.0,1453000.0,0,2760000.0,15.0,0.284,0,Andres Rodriguez,513.0,,Cali,28/03/2024,F
CLI-00482,54.0,922000.0,0,7120000.0,42.0,0.339,0,Luis Ramirez,494.0,N/A,Medellin,2024-11-08,
CLI-00174,25.0,1026000.0,0,5860000.0,43.0,0.414,0,Laura Rodriguez,585.0,fijo,medellin,2022/05/22,Femenino
CLI-00066,47.0,2870000.0,0,7400000.0,1.0,0.478,1,Luis Diaz,602.0,Fijo,CALI,10/07/2021,F
CLI-00469,50.0,3148000.0,0,4420000.0,4.0,0.423,1,  ANDRES VARGAS  ,810.0,N/A,Cali,2024/10/01,M
CLI-00302,21.0,1153000.0,0,3980000.0,23.0,0.334,0,Miguel Ramirez,588.0,Indefinido,Itagui,2023-05-31,Masculino
CLI-00229,29.0,,0,3160000.0,51.0,0.503,1,Sofia Perez,732.0,Prestacion de servicios,CALI,2022/10/30,Masculino
CLI-00477,50.0,3445000 COP,0,2460000.0,11.0,0.383,1,Juan Vargas,785.0,fijo,Envigado,2024-10-24,
CLI-00110,19.0,2595000.0,0,4110000.0,1.0,0.065,1,Paula Castro,610.0,,Cali,15/11/2021,
CLI-00454,61.0,1109000.0,0,5340000.0,20.0,0.084,1,Felipe Vargas,492.0,Independiente,MEDELLIN,2024/08/18,F
CLI-00475,45.0,1203000.0,1,4500000.0,15.0,0.218,1,Camila Garcia,588.0,,Barranquilla,18/10/2024,f
CLI-00303,48.0,2356000.0,0,4420000.0,11.0,0.233,1,Natalia Garcia,656.0,Independiente,Envigado,03-Jun-2023,
CLI-00491,50.0,3064000.0,0,5.180.000,,0.736,0,Daniela Rodriguez,744.0,Fijo,Cali,04/12/2024,M
CLI-00033,32.0,1584000.0,0,9050000.0,38.0,0.245,0,Carlos Gomez,434.0,Independiente,Barranquilla,04-Apr-2021,m
CLI-00249,70.0,1646000.0,0,1970000.0,103.0,0.252,0,Maria Ortiz,403.0,Fijo,Itagui,2022/12/27,Femenino
CLI-00479,38.0,976000.0,0,5050000.0,18.0,0.296,1,Diego Gomez,656.0,indefinido,,2024/10/30,Femenino
CLI-00330,32.0,$521.000,1,4020000.0,33.0,0.438,2,Miguel Hernandez,552.0,Fijo,bogota,21/08/2023,m
CLI-00203,39.0,1184000.0,0,2170000.0,18.0,0.423,0,Miguel Gomez,498.0,Indefinido,Bucaramanga,15-Aug-2022,Masculino
CLI-00247,26.0,4871000.0,0,2150000.0,41.0,0.387,1,Laura Castro,810.0,N/A,,2022-12-21,f
CLI-00148,36.0,835000.0,0,4310000.0,24.0,0.366,0,Carlos Gonzalez,495.0,indefinido,Cali,07-Mar-2022,Femenino
CLI-00331,55.0,2417000.0,0,6770000.0,20.0,0.445,2,Paula Gonzalez,384.0,Independiente,Barranquilla,24/08/2023,Femenino
CLI-00337,31.0,1684000.0,0,3170000.0,5.0,0.46,0,Miguel Gonzalez,746.0,fijo,CALI,2023-09-11,
CLI-00473,35.0,2217000.0,0,2490000.0,51.0,0.306,0,Valentina Rodriguez,623.0,N/A,Barranquilla,2024-10-13,Femenino
CLI-00364,26.0,2068000.0,1,1330000.0,23.0,0.444,4,,361.0,Fijo,MEDELLIN,2023/11/29,M
CLI-00314,43.0,1541000.0,0,5980000.0,40.0,0.462,0,Felipe Gonzalez,648.0,indefinido,Cali,2023/07/05,m
CLI-00228,59.0,2910000.0,0,4270000.0,7.0,0.438,1,Paula Perez,584.0,Prestacion de servicios,medellin,27-Oct-2022,
CLI-00257,43.0,1251000.0,0,2300000.0,15.0,0.247,1,Santiago Martinez,,N/A,Bucaramanga,2023-01-20,
CLI-00090,43.0,4437000 COP,0,7880000.0,37.0,0.061,0,Isabella Castro,476.0,fijo,Bogota,18/09/2021,Masculino
CLI-00458,29.0,6086000.0,0,6440000.0,74.0,0.501,1,Miguel Garcia,728.0,Independiente,Barranquilla,30-Aug-2024,F
CLI-00309,44.0,1690000.0,0,1130000.0,1.0,0.359,1,Camila Gonzalez,640.0,Prestacion de servicios,CALI,2023/06/21,m
CLI-00119,56.0,1459000.0,1,1920000.0,70.0,0.489,2,Camila Torres,639.0,Indefinido,Bucaramanga,2021/12/12,f
CLI-00358,41.0,2452000.0,0,4600000.0,30.0,0.159,0,Felipe Ortiz,700.0,fijo,Medellin,11-Nov-2023,Masculino
CLI-00453,59.0,2517000.0,0,2570000.0,39.0,0.48,1,  VALENTINA LOPEZ  ,559.0,Independiente,medellin,15-Aug-2024,m
CLI-00494,43.0,3826000.0,0,7830000.0,,0.608,0,Luis Castro,720.0,N/A,Envigado,2024/12/13,
CLI-00237,18.0,$2.925.000,0,2970000.0,28.0,0.383,1,Sofia Torres,629.0,Independiente,Medellin,2022-11-22,m
CLI-00091,45.0,1076000.0,0,8.530.000,52.0,0.603,0,Laura Diaz,502.0,Fijo,Envigado,21/09/2021,m
